iter	Passed	Remaining
1308	65190	9512
1309	65244	9462
1310	65296	9413
1311	65345	9363
1312	65396	9313
1313	65446	9264
1314	65496	9214
1315	65546	9164
1316	65600	9115
1317	65649	9065
1318	65702	9015
1319	65757	8966
1320	65808	8917
1321	65861	8867
1322	65911	8818
1323	65962	8768
1324	66013	8718
1325	66064	8669
1326	66115	8619
1327	66165	8569
1328	66216	8519
1329	66271	8470
1330	66325	8421
1331	66376	8371
1332	66427	8322
1333	66479	8272
1334	66530	8222
1335	66582	8173
1336	66633	8123
1337	66683	8073
1338	66738	8024
1339	66789	7974
1340	66841	7925
1341	66893	7875
1342	66944	7826
1343	66994	7776
1344	67046	7726
1345	67094	7676
1346	67145	7626
1347	67193	7576
1348	67244	7527
1349	67294	7477
1350	67345	7427
1351	67395	7377
1352	67445	7327
1353	67495	7277
1354	67550	7228
1355	67600	7178
1356	67649	7128
1357	67702	7079
1358	67753	7029
1359	67805	6979
1360	67860	6930
1361	67908	6880
1362	67958	6830
1363	68009	6780
1364	68059	6731
1365	68108	6681
1366	68159	6631
1367	68210	6581
1368	68265	6532
1369	68316	6482
1370	68367	6432
1371	68416	6382
1372	68468	6333
1373	68517	6283
1374	68568	6233
1375	68620	6183
1376	68671	6134
1377	68722	6084
1378	68778	6034
1379	68831	5985
1380	68883	5935
1381	68933	5885
1382	68983	5835
1383	69033	5786
1384	69082	5736
1385	69132	5686
1386	69180	5636
1387	69231	5586
1388	69286	5536
1389	69337	5487
1390	69389	5437
1391	69442	5387
1392	69490	5337
1393	69541	5287
1394	69595	5238
1395	69647	5188
1396	69694	5138
1397	69742	5088
1398	69794	5038
1399	69845	4988
1400	69894	4939
1401	69945	4889
1402	69993	4839
1403	70042	4789
1404	70091	4739
1405	70153	4690
1406	70201	4640
1407	70254	4590
1408	70308	4540
1409	70359	4491
1410	70406	4440
1411	70460	4391
1412	70509	4341
1413	70559	4291
1414	70609	4241
1415	70659	4191
1416	70709	4141
1417	70758	4091
1418	70810	4042
1419	70861	3992
1420	70910	3942
1421	70962	3892
1422	71012	3842
1423	71062	3792
1424	71116	3742
1425	71175	3693
1426	71229	3643
1427	71286	3594
1428	71340	3544
1429	71388	3494
1430	71439	3444
1431	71489	3394
1432	71542	3344
1433	71594	3295
1434	71645	3245
1435	71695	3195
1436	71744	3145
1437	71798	3095
1438	71849	3045
1439	71898	2995
1440	71950	2945
1441	72000	2895
1442	72050	2846
1443	72101	2796
1444	72152	2746
1445	72200	2696
1446	72250	2646
1447	72306	2596
1448	72356	2546
1449	72404	2496
1450	72463	2447
1451	72513	2397
1452	72565	2347
1453	72617	2297
1454	72667	2247
1455	72731	2197
1456	72799	2148
1457	72868	2099
1458	72924	2049
1459	72975	1999
1460	73026	1949
1461	73076	1899
1462	73129	1849
1463	73176	1799
1464	73225	1749
1465	73276	1699
1466	73328	1649
1467	73379	1599
1468	73429	1549
1469	73453	1499
1470	73502	1449
1471	73554	1399
1472	73606	1349
1473	73656	1299
1474	73706	1249
1475	73758	1199
1476	73809	1149
1477	73866	1099
1478	73915	1049
1479	73964	999
1480	73995	949
1481	74045	899
1482	74097	849
1483	74148	799
1484	74197	749
1485	74247	699
1486	74302	649
1487	74352	599
1488	74402	549
1489	74454	499
1490	74506	449
1491	74555	399
1492	74606	349
1493	74656	299
1494	74705	249
1495	74755	199
1496	74809	149
1497	74859	99
1498	74908	49
1499	74960	0
